School,lon,lat
北京海淀区笫二实验学校,116.330899,40.030108
北京市建华实验学校小学部,116.257221,39.901056
北大补习班中小学,116.311834,40.051441
上庄中心小学,116.213987,40.113787
北京市海淀区台头小学,116.116177,40.105665
北京航空航天大学附属小学,116.349349,39.977754
中关村第一小学党校部,116.275657,40.016616
中关村第一小学(天秀部),116.278822,40.020017
双榆树中心小学,116.323571,39.96901
海淀实验二小汇缘分校,116.323756,40.0288
清河第四小学,116.371514,40.065454
羊坊店中心小学(低年级校区),116.326495,39.899312
北京市海淀区北安河中心小学周家巷校区,116.129435,40.054487
中国人民大学附属小学,116.277939,39.965327
中国农业科学院附属小学,116.328385,39.95773
海淀区永泰小学,116.358051,40.032997
万泉小学曙光分校,116.291207,39.946036
北京市海淀区八里庄小学,116.299907,39.927669
中关村第三小学(北校区),116.295229,39.968835
教师进修学校附属实验小学(本校区),116.234732,39.956125
北京市海淀区苏家坨中心小学,116.158632,40.073097
西苑小学,116.293691,39.992647
中关村第四小学,116.339619,39.969439
中关村第一小学,116.322265,39.983817
北京市海淀区翠微小学(北校区),116.16053,40.054093
中关村第二小学华清分校,116.333833,39.991115
北京育英学校小学部,116.287651,39.910415
北京市海淀区苏三四小学,116.173507,40.077261
花园村第二小学,116.318704,39.931438
双榆树第一小学,116.327241,39.97023
红英小学六里屯校区,116.252646,40.063427
首都师范大学附属小学,116.27093,39.942088
北京市海淀区香山小学,116.205942,39.988565
海淀区教师进修学校附属实验小学,116.258639,39.955167
中国科学院附属玉泉小学五里校区,116.257016,39.920832
北京市海淀区五一小学晋元庄分校,116.207545,39.92128
羊坊店第四小学,116.319618,39.903388
中国农业科学院附属小学学院南路校区,116.337014,39.960045
人大附中实验小学,116.32144,39.974703
北京邮电大学附属小学,116.360157,39.955489
中国农业科学院附属小学(政法路校区),116.350408,39.963295
八一小学,116.307747,39.978052
北京市海淀区六郎庄小学,116.293217,39.990849
北京石油学院附属实验小学,116.376025,40.034173
北京教育学院附属海淀实验小学,116.244312,39.931398
北京市海淀区学院路小学,116.35129,39.971042
海淀区实验小学(阜成路校区),116.314001,39.923105
中关村第三小学南校区,116.297508,39.962483
西颐小学,116.313092,39.965133
星火小学,116.367011,39.953273
清华东路小学,116.368202,40.001049
中关村第二小学(中关村校区),116.317225,39.987115
青苗国际双语学校(海淀四季青校区),116.226204,39.948002
永丰中心小学屯佃校区,116.21714,40.062435
首都师范大学附属小学(柳明校区),116.237951,39.921653
翠微小学东校区,116.312997,39.911064
北京外国语大学附属小学,116.31252,39.951466
北京师范大学实验小学,116.36858,39.963234
海淀区七一小学,116.306862,39.898248
上地实验小学(树村分校),116.294906,40.032431
中国农业科学院附属小学(气象路校区),116.336444,39.946915
海淀区第四实验小学,116.210357,39.97196
太平路小学分校,116.254698,39.906048
海淀区六一小学,116.287116,39.928587
北京市海淀区图强第二小学,116.271173,39.909584
万泉小学,116.302062,39.97047
海淀区实验小学(西三环校区),116.308783,39.92755
前进小学,116.35999,39.974381
红英小学,116.241083,40.034521
西玉河小学,116.237882,40.095375
北京市海淀区清华东路小学,116.365898,39.980829
北京石油附小,116.366841,39.989343
海淀区教师进修学校附属实验小学(北辛庄校区),116.21257,39.957858
育英学校西翠路校区,116.286218,39.918131
中关村第三小学(科技园分校),116.240526,40.06731
中关村外国语学校·蒙特梭利小学部(海淀校区),116.230104,40.028094
北京铁路实验小学,116.328304,39.902027
清华大学附属小学清河分校,116.338374,40.028473
九一小学东校区,116.362697,39.979315
北京市海淀区张北希望小学,116.21958,39.951907
海淀区第三实验小学,116.340912,39.993913
首都师范大学实验小学,116.329439,39.933859
人大附小亮甲西校,116.272383,39.933182
中国人民大学附属小学亮甲分校,116.278536,39.929656
首都师范大学附属玉泉学校(附小玉泉校区),116.24694,39.964408
育鹰小学东校区,116.334228,40.050157
北京市海淀区实验小学(北洼路校区),116.301055,39.941886
北京外国语大学附属小学(魏公村校区),116.31786,39.953626
海淀区上地实验小学,116.201942,40.128194
红英小学唐家岭校区,116.274724,40.064051
枫丹实验小学,116.360322,40.06556
前沙涧小学,116.151182,40.099332
中国农业大学附属实验小学,116.353467,40.00357
北京理工大学附中小学部,116.303835,39.946338
北京市海淀区行知实验学校,116.264688,39.935569
振兴小学,116.224671,40.134751
北京石油学院附属第二实验小学,116.378,40.035671
海淀区第二实验小学(清宁校区),116.33504,40.041478
北京石油学院附属小学(东校),116.368018,39.996222
海淀区第二实验小学当代校区,116.318155,40.043959
崛起实验学校,116.293214,40.032058
北京海淀区培星小学,116.256408,40.004637
海淀区实验小学苏州街校区,116.304896,39.951404
中国科学院附属玉泉小学玉海园三里校区,116.254934,39.918196
海淀区第二实验小学(汇缘校区),116.323755,40.028774
北京交通大学附属小学,116.348494,39.94542
北京林业大学附属小学,116.348431,40.004594
翠微小学金帆音乐堂,116.303683,39.910113
北京市海淀区民族小学,116.376167,39.972514
北京市海淀区花园村第二小学(海淀区二里沟学区),116.317503,39.935284
翠微小学西校区,116.296885,39.913503
北京市海淀区九一小学,116.36154,39.979333
北京理工大学附属小学,116.309121,39.961685
北京行知实验小学,116.221793,39.927994
海淀区和平小学,116.205309,40.036436
北京石油学院附属小学,116.363635,39.994916
北航实验学校小学部,116.349245,39.977746
北京金海河学校,116.329218,40.026497
建华实验学校,116.257059,39.900786
民族小学北校区,116.374072,39.980042
北京市海淀区翠微小学,116.303621,39.909772
中国农业大学附属小学,116.278589,40.021534
东北旺中心小学,116.278179,40.030018
定慧里小学,116.280848,39.922131
北京医科大学附属小学花园路校区,116.364051,39.985301
北京大学附属小学,116.318883,39.995294
羊坊店中心小学,116.326465,39.900711
中国人民大学附属小学银燕校区,116.287249,39.967568
北京交通大学附属小学(北校区),116.342277,39.953954
清华大学附属小学,116.323053,39.995666
海淀区第三实验小学南校区,116.34377,39.991703
北京市海淀区太平路小学采石路校区,116.259268,39.9016
北京科技大学附属小学,116.364247,39.992079
北京市海淀区培英小学,116.277174,39.899615
海淀区第二实验小学橡树校区,116.330923,40.030102
北京市海淀区五一小学,116.263397,39.901773
东马坊小学,116.199509,40.09432
北京邮电大学附属小学(文慧园校区),116.360122,39.951565
西二旗小学,116.311053,40.050075
北宫门小学,116.275829,40.016598
培星小学(北校区),116.250954,40.009128
北京市海淀区北安河中心小学,116.117883,40.067092
中关村第二小学(百旺校区),116.268667,40.047731
首都师范大学实验小学(南校区),116.327749,39.929974
北京交通大学附属小学(东校区),116.348368,39.9531
北京市八角北路小学,116.306352,39.919413
教科院未来实验小学,116.193544,40.042795
北京市海淀区定慧里小学(东校区),116.29244,39.922654
和平小学(杨庄校区),116.19424,40.042491
北京十一学校,116.349838,40.045613
北京医科大学附属小学,116.364198,39.985164
华北小学,116.210902,40.062189
清华大学附属小学清河分校新校区,116.343721,40.02928
海淀实验,116.314001,39.923105
中国人民大学附属中学翠微学校(小学部),116.300005,39.914859
花园村第二小学(分校),116.317394,39.935294
北京市海淀区中关村第二小学万泉河分校,116.301485,39.986782
清华大学附属中学永丰学校小学部,116.241721,40.067574
清华大学附属小学清河分校,116.349352,40.024073
北京一零一中实验小学,116.294088,39.99361
向东小学,116.33674,39.946971
万泉小学小南庄校区,116.306136,39.968178
海淀区上庄中心小学,116.200355,40.094268
中国教育科学研究院附属小学,116.376575,39.971881
永丰中心小学宏丰校区,116.238066,40.046771
北京大学附属小学肖家河分校,116.288022,40.020633
中国科学院附属玉泉小学,116.24206,39.926578
翠湖小学白水洼校区,116.206394,40.13581
中国农业科学院附属中学,116.337293,39.959903
北京市海淀区台头小学附设幼儿班,116.122035,40.08149
教院附小,116.245291,39.930698
北京市海淀区翠湖小学前章村校区,116.180287,40.125119
北京实验学校海淀小学部,116.331016,39.92587
育鸿学校小学部,116.3129,39.898806
中关村第一小学,116.275724,40.016313
中关村第三小学红山校区,116.264561,40.017067
海淀北部新区实验学校学校小学(部校区),116.151208,40.098999
白家疃小学,116.175382,40.041361
打工子弟小学文华学校,116.250367,40.038738
育鹰小学(安宁庄路5号院西北),116.324634,40.054724
辛庄小学,116.151148,40.064287
育英学校小学低年级部,116.278214,39.917166
北京小学(槐柏树街总校),116.360308,39.896604
裕中小学,116.386207,39.970649
北京市西城区师范学校附属小学(展览路校区),116.354373,39.933544
北京第二实验小学德胜校区,116.38147,39.950785
北京小学,116.360739,39.896893
北京市西城区志成小学(西校区),116.36106,39.938177
北京市第十三中学附属小学,116.385582,39.939278
志成小学,116.36935,39.94254
宣武师范学校附属第一小学(里仁街),116.36946,39.875434
西城区实验小学,116.353189,39.874054
三义里小学,116.329124,39.886722
北京市西城区涭水河小学,116.376808,39.900344
北京第一实验小学,116.383048,39.896989
展览路第一小学,116.339194,39.930271
新世纪实验小学,116.395157,39.878494
北京市西城区太平街小学,116.386418,39.881402
北京进步小学,116.347625,39.936551
北京市西城区五路通小学,116.383425,39.960841
北京第八中学附属小学,116.382681,39.888073
北京雷锋小学,116.378382,39.942788
北京第二实验小学,116.367702,39.904721
北京小学红山分校,116.332051,39.893485
西城区小学劳技中心,116.340634,39.908545
北京第二实验小学(玉桃园分校),116.362886,39.942326
北京市西城区登莱小学,116.354005,39.888132
西城区三里河第三小学,116.337647,39.910796
北京市西城区复兴门外第一小学,116.347963,39.912887
北京师范大学京师附小三分校,116.370705,39.927245
志成小学西校区,116.360819,39.938051
北京市西城区师范学校附属小学,116.385031,39.95243
北京实验二小玉桃园分校,116.368934,39.942547
育民小学(南校区),116.34975,39.906307
北京市宣武师范学校附属第一小学,116.362323,39.876468
北京市正泽学校(青龙桥校区),116.348028,39.901811
红莲小学,116.334359,39.882226
京师范大学京师附小一分校,116.368395,39.928334
北京师范大学京师附小,116.369326,39.928047
志成小学(北址),116.37006,39.942554
北京师范大学京师附小,116.368588,39.928697
志成小学(南址),116.368856,39.935817
北京市第十五中学附属小学,116.369118,39.878906
北京小学广内分校,116.353732,39.891462
北京小学天宁寺分校(东区),116.346523,39.893272
西板桥小学,116.393424,39.929442
北京建筑大学附属小学,116.336352,39.935383
北京市西城外国语学校附属小学,116.352901,39.929797
黄城根小学(育幼校区),116.364289,39.93162
北京市宣武回民小学西里二校区,116.360537,39.884454
北京市第一实验小学广外校区,116.323585,39.880764
北京市西城区育翔小学阳光校区,116.387114,39.966329
北京市西城区师范学校附属小学,116.390917,39.955758
黄城根小学(官园校区),116.361227,39.932018
北京第二实验小学广外分校,116.339811,39.882269
北京第二实验小学(白云路分校),116.34374,39.904805
北京市宏庙小学低年级部,116.377369,39.912768
华嘉小学,116.361777,39.927992
北京育翔小学,116.377897,39.965583
北京市西城区奋斗小学,116.367351,39.898582
北京市西城区什刹海小学,116.393433,39.929393
鸦儿胡同小学(南校区),116.391836,39.940688
北京市西城区阜成门外第一小学,116.350439,39.921916
黄城根小学,116.362355,39.93718
北京小学广外校区,116.33176,39.885641
青年湖小学,116.34824,39.878268
北京第一实验小学前门分校,116.388897,39.899368
北京市西城区厂桥小学,116.377842,39.933435
自忠小学分校,116.381343,39.9219
北京市西城区康乐里小学,116.36832,39.896182
西单小学,116.369602,39.909426
北京市宣武回民小学西里一校区,116.362781,39.88704
中古友谊小学,116.340246,39.915993
三帆中学附属小学,116.386099,39.970496
北京市西城区西什库小学,116.38131,39.924113
奋斗小学,116.348686,39.925387
顺城街第一小学,116.377597,39.900574
奋斗小学,116.361635,39.90142
炭儿胡同小学,116.390943,39.895932
北京市自忠小学,116.381296,39.917192
北京力学小学,116.377995,39.911382
北京市第一六一中学附属小学,116.390706,39.918235
北京市西城区椿树馆小学,116.34612,39.886645
黄城根小学,116.376368,39.930751
北京小学天宁寺分校,116.345476,39.893518
康乐里小学彩虹校区,116.371478,39.898189
宏庙小学,116.370538,39.915634
陶然亭小学,116.378509,39.877857
香厂路小学,116.393564,39.889298
北京雷锋小学,116.39173,39.947689
什刹海小学分校,116.395007,39.929994
北京育才学校太平街校区,116.386373,39.881491
复兴门外第二小学,116.340373,39.90806
北京第二实验小学低年级部,116.369201,39.904561
西城区华嘉小学,116.362763,39.929281
育民小学(白云观校区),116.345276,39.90081
北京第二实验小学玉桃园分校(东址),116.36897,39.942497
北京小学广内分校低年级部,116.357392,39.893685
宣武回民小学,116.369516,39.88827
西直门第二小学,116.359572,39.940304
康乐里小学明理校区,116.372617,39.89776
北京市西城外国语学校附小一年级部,116.354016,39.930479
受水河胡同41号,116.370783,39.903489
厂桥小学(北校区),116.375318,39.938228
育才学校小学部,116.39232,39.875997
中古友谊小学,116.350552,39.911992
北京小学(北线阁走读分校),116.353345,39.891596
黄城根小学-西区,116.361309,39.932014
中古友谊小学低年级部,116.350869,39.912101
北京市西城区培智中心学校,116.348058,39.940719
培智中心学校(菜市口校区),116.369598,39.892233
北京市宣武回民小学高年级部,116.360533,39.884641
光明小学(福光路),116.432699,39.886733
史家小学(史家胡同分校),116.418455,39.918728
金台书院小学,116.41095,39.891268
北京市东城区什锦花园小学,116.409361,39.929287
校尉小学,116.414516,39.914837
西中街小学,116.440844,39.940332
北京市东城区东四七条小学,116.422795,39.932014
中国儿艺艺术教育实验学校,116.397839,39.863758
史家小学遂安伯校区,116.424343,39.916126
北京地坛小学,116.410502,39.960576
文汇小学,116.446551,39.896185
新鲜胡同小学,116.429899,39.920952
和平里第一小学,116.420076,39.95803
北京和平里第四小学,116.428821,39.957809
北京市第一七一中学附属青年湖小学,116.398599,39.956764
史家小学分校,116.430875,39.935097
崇文小学,116.428986,39.895285
永生小学,116.427438,39.889214
灯市口小学低年级部,116.42123,39.92235
培新小学,116.432426,39.88903
北京光明小学本校区低年级部,116.432762,39.88661
史家小学低年级部,116.418458,39.918722
中央工艺美院附中艺美小学,116.44513,39.94526
东城区精忠街小学,116.402794,39.888743
东交民巷小学,116.41992,39.903992
北新桥小学,116.435709,39.948707
和平里第九小学,116.421305,39.960853
北京市东城区分司厅小学,116.405649,39.943349
和平里第四小学东城区师范学校附属小学校区,116.410742,39.950992
雍和宫小学,116.418445,39.94707
黑芝麻胡同小学(织染局校区),116.404671,39.931766
陶氏私立两等小学堂,116.412556,39.920413
史家小学(高年级部),116.428541,39.92623
史家实验学校,116.437801,39.937494
北京光明小学广渠校区,116.449683,39.891543
灯市口小学,116.414296,39.920719
定安里小学,116.410596,39.860954
和平里第三小学,116.413426,39.962539
西中街小学(高部),116.44094,39.940406
东城区西总布小学,116.424098,39.912489
史家七条小学,116.422738,39.932005
方家胡同小学,116.413618,39.944638
北京市东城区安外三条小学,116.406482,39.954827
北京市汇文第一小学,116.433407,39.905291
北京市东城区培新小学高年级部,116.421575,39.882245
东城区板厂小学,116.423435,39.880519
北京景泰小学,116.414898,39.873798
前门小学,116.407661,39.899902
北京光明小学本校区,116.437435,39.88361
府学胡同小学低年级部,116.418348,39.936982
北京市广渠门中学附属小学,116.431339,39.899869
汇文第一小学(北区),116.432875,39.905309
和平里第四小学(和二校区),116.42742,39.951008
北京市第一零九中学小学实验部,116.42923,39.887123
北京市东城区黑芝麻胡同小学,116.404918,39.937644
天坛东里小学,116.418479,39.876445
前门小学,116.413229,39.898172
回民实验小学,116.428052,39.897815
府学小学,116.41104,39.939599
北京第一师范学校附属小学西校区,116.409622,39.869255
北京第一师范学校附属小学东校区,116.416066,39.866297
府学胡同小学美术馆后街校区,116.408051,39.92962
史家小学,116.4286,39.925392
东城区回民小学,116.429251,39.92385
北京市东城区黑芝麻胡同小学(前鼓楼苑胡同),116.40185,39.938843
北京市东城区分司厅小学(北锣鼓巷校区),116.401631,39.94769
东城区板厂小学,116.44097,39.885195
体育馆路小学,116.426006,39.885698
东交民巷小学,116.412658,39.903419
灯市口小学北池子小学校区,116.403324,39.919353
东四九条小学,116.418315,39.93317
宝华里小学,116.405349,39.860314
北京市东四十四条小学,116.422075,39.93669
美国小学,116.42001,39.948651
北京景山学校北校区小学部,116.426743,39.948429
板厂小学高年级部,116.423804,39.880569
前门幼儿园-草厂九条小学,116.40844,39.89451
北京第166中学附属校尉胡同小学,116.414524,39.914862
凤阳小学,116.450889,39.891868
北京市东城区黑芝麻胡同小学(帽儿胡同校区),116.401032,39.936365
五道营胡同98,116.40925,39.948397
国学小学,116.415094,39.947126
北京市东直门中学附属雍和宫小学,116.410861,39.929395
体育馆路小学(低年级学部),116.437393,39.873426
东高房小学,116.402754,39.926914
北京市朝阳区外国语学校(小学部),116.401883,39.999619
北京市朝阳区赫德双语学校,116.582102,39.95543
垂杨柳中心小学(劲松分校),116.453552,39.877744
垂杨柳中心小学(杨柳校区),116.457328,39.887352
白家庄小学,116.455683,39.930188
首师大附属实验学校小学部,116.471981,40.006993
大山子第二小学诗书画印,116.488936,39.98741
朝阳区第二实验小学双桥校区(低部),116.581374,39.902646
中国传媒大学附属小学(中部),116.55322,39.917827
北京市朝阳区西直河小学,116.528648,39.842387
酒仙桥中心小学驼房营部,116.503525,39.966864
北京市朝阳区王四营中心小学,116.522151,39.886745
芳草地国际学校双花园校区,116.452689,39.898234
新源里-第四小学,116.454067,39.953399
北京市金盏学校,116.567227,40.004533
芍药居小学,116.4379,39.986166
北京市朝阳区星河双语金盏校区,116.578454,40.004984
北京明远教育书院实验小学知语城校区,116.459926,39.993684
垂杨柳中心小学(松榆校区),116.467513,39.875048
樱花园实验学校小学部教学楼,116.420219,39.97472
博文学校,116.492847,39.844103
国美家园小学,116.513515,39.935584
陈经纶中学分校实验小学部,116.514724,39.974792
人大附中朝阳学校小学部,116.437856,39.98612
安民学校,116.497551,39.945854
日坛小学四惠校区,116.505629,39.910164
十八里店小学,116.48102,39.849233
北京市朝阳外国语学校,116.404133,39.999863
朝阳外国语学校小学部,116.381202,39.999931
花家地实验小学朝来校区,116.434845,40.037448
高碑店中心小学,116.522852,39.904091
对外经济贸易大学附属小学,116.420986,39.978967
平房中心小学,116.537117,39.937014
一七一中学朝阳豆各庄分校小学部,116.563163,39.859925
北京市朝阳区老君堂小学,116.5134,39.841901
朝阳师范学校附属小学,116.422112,39.965923
北京第二外国语学院附属小学定福分校,116.570445,39.917856
白家庄小学(汇景苑校区),116.536282,39.955557
北京市朝阳外国语学校(北苑分校),116.430717,40.026642
中国音乐学院附属北京实验学校安慧里校区低年级部,116.411752,39.99001
清华大学附属小学商务中心区实验小学,116.441702,39.90495
首都师范大学附属朝阳实验小学(金蝉南校区),116.508876,39.863026
北京市陈经纶中学分校小学部,116.461147,40.008985
呼家楼中心小学(本部),116.467069,39.920619
白家庄小学(朝外校区),116.436671,39.927315
北京化工大学附属中学小学部(小关校区),116.41524,39.980384
北京和平街第一中学小学部清友园校区,116.42722,40.039918
北京精诚实验小学国际部,116.383128,39.979576
花家地实验小学,116.4673,39.983044
北京市第八十中学枣营分校,116.471749,39.946805
北京第二外国语学院附属小学,116.59519,39.913487
东城区汇文实验小学朝阳学校,116.45665,39.869682
金色摇篮全程实验学校,116.405259,40.007829
中国科学院附属实验学校,116.385086,39.996993
北京市朝阳区外国语小学二部,116.403878,39.996105
芳草地国际学校民族校区,116.437455,39.917678
呼家楼中心小学(南校区),116.469044,39.914774
金地实验学校,116.514936,39.842339
北京市东方德才学校(小学部),116.484038,39.922156
北京明远教育书院实验小学,116.461904,39.998014
北京朝阳区兴隆小学,116.524791,39.911821
南湖中园小学望花路校区,116.472307,39.988476
星河双语学校,116.461264,39.861554
北京第二实验小学朝阳学校,116.485621,39.895556
清华大学附属小学商务中心区实验小学,116.454622,39.906766
朝阳师范学校附属小学,116.451952,39.973129
朝阳区师范学校附属小学和平街分校北校区,116.426278,39.96593
首都师范大学附属朝阳实验小学翠南校区,116.505073,39.853876
中国音乐学院附属北京实验学校(北辰绿色家园校区),116.411343,40.027428
星河实验学校,116.522103,39.922189
朝阳区实验小学(润泽校区),116.432634,40.05459
北京精诚实验小学,116.426325,39.964527
北京朝阳外语小学,116.412135,39.970912
白家庄小学,116.471641,39.997652
芳草地国际学校日坛校区,116.448528,39.91827
中央商务区实验学校,116.477273,39.909803
3e国际学校小学部,116.529837,40.025933
芳草地国际学校,116.434098,39.991302
北京教育学院朝阳分院附属学校小学部,116.485622,39.913377
朝阳实验小学(体育场路校区),116.449374,39.926512
北京世青国际学校,116.448607,40.027337
北京市朝阳区实验小学福源分校,116.45506,39.955254
北京陈经纶中学保利小学南校区,116.59469,39.923571
朝阳区实验小学,116.459602,39.830046
北京市劲松第四小学,116.44928,39.881039
大武基实验文武学校,116.513675,39.846367
青苗国际双语学校(常营校区),116.577168,39.933246
石佛营小学,116.498549,39.933396
芳草地国际学校(慈云分校),116.493853,39.917197
中央美术学院附属实验小学,116.488732,39.987581
白家庄小学迎曦分校东校区,116.503728,39.93374
首都师范大学朝阳小学,116.592594,39.979799
北苑小学,116.429992,40.027992
芳草地国际学校(东洲校区),116.462581,40.044544
朝阳师范学校附属小学和平街分校南校区,116.42991,39.961608
朝阳区实验小学(新源里分校),116.446598,39.947078
朝阳区实验小学(左家庄分校),116.44212,39.953596
朝阳实验小学(柳芳校区),116.436904,39.955644
北京明远教育书院实验小学(青年城校区),116.43732,40.029832
官庄小学,116.508431,39.87699
中国科学院附属实验学校(南沙滩学部),116.375838,39.996534
朝阳区第二实验小学双桥校区(高部),116.577077,39.896376
二外附中瑞祥民族小学部,116.613675,39.91086
THE BRITISH SCHOOL OF BEIJING SANLITUN,116.453614,39.944579
八里桥小学,116.616947,39.913975
柏阳学校,116.553066,39.873095
